amount,velocity,account_age_days,foreign_txn,past_chargebacks,fraud
56.31217079722309,1,2044,0,0,0
361.2145717101025,1,1465,0,0,1
158.00948322545392,2,455,0,0,1
109.5531064531144,6,1811,0,1,1
20.354984455481553,1,2067,1,0,0
20.35155502975262,0,1904,0,0,0
7.180652233041681,1,979,0,0,0
241.34770373759272,1,433,1,0,1
110.28985843527174,0,1453,0,0,1
147.75000740455084,1,252,0,0,0
2.4959169598966344,1,2024,0,0,1
420.42689701899747,4,796,0,0,1
214.371545202561,6,2955,0,0,1
28.64251502987364,1,1847,0,0,0
24.081478649959603,1,2697,0,1,1
24.313370739870848,1,2958,0,0,0
43.53044753525725,2,2786,0,0,0
89.27133970330253,0,221,0,0,0
67.8644480136404,5,2161,0,0,0
41.30675910647298,2,560,0,0,1
113.56450486797584,2,1082,0,0,0
18.02814344728064,1,2245,0,0,0
41.461861440288274,1,1742,0,1,1
54.75326618650165,1,780,1,0,1
73.072162543173,6,2263,0,0,0
184.55232132370944,2,636,0,0,1
26.728303455442834,1,1040,1,1,1
86.64349860397533,0,2725,1,0,0
107.70056655717127,4,2708,0,0,1
5.707661970769025,0,2281,0,1,0
112.23996247795321,4,2073,0,0,0
22.43535023728997,1,1425,0,0,0
8.07167170551651,3,1804,0,0,0
356.8425352208317,2,1389,0,0,1
404.47564109534073,2,2986,0,0,1
198.2797887375452,3,2119,0,0,1
43.594543196250996,1,1583,0,0,0
12.333277800300749,1,2073,1,0,0
138.3300915718394,1,458,0,0,1
69.6109011102478,2,211,0,0,1
15.618268074533837,1,2589,0,0,0
82.02566737609801,1,2819,0,0,1
4.19924657321749,1,1063,0,1,0
288.0507464871629,3,677,0,0,1
35.93493322088233,6,2143,0,0,1
130.35069582779764,2,1414,0,0,1
44.82558979891484,0,2268,0,0,0
88.09330750910743,0,906,0,0,0
94.94685575781571,3,1292,0,0,1
24.52663194094869,3,1518,0,0,0
419.1368559283472,4,1654,0,0,1
179.0694452565769,2,1090,0,0,1
336.61133031498986,0,1411,0,1,1
270.2582397041036,2,2241,0,1,1
109.326529485993,3,2223,0,0,0
305.9322455123286,2,112,0,1,1
11.118655074373875,1,2159,0,0,0
26.176163355752095,2,1511,0,1,1
5.553835882419834,2,1945,1,0,0
47.22385041637042,1,2501,0,0,0
59.05563501530623,1,413,0,0,1
37.98725318505908,4,2652,0,0,0
211.74694382891207,2,960,1,0,1
52.94723994358442,4,186,0,0,1
39.576340816109905,1,1577,0,0,0
93.88884998492952,1,51,0,0,1
18.227777738475464,3,1170,0,1,1
194.45803149296773,2,355,0,0,1
9.29710425735708,1,2411,0,0,0
520.0975607504784,1,2584,0,0,1
177.53805314898136,1,1308,0,0,0
26.584732860706314,1,36,0,0,0
0.664490445112257,0,277,1,0,1
202.78761329833512,3,1720,0,0,1
147.25150888644535,4,1349,0,0,1
156.67954905455989,1,2230,0,1,1
177.02574312522162,3,2519,0,0,1
9.231511861655562,0,1836,0,1,1
53.267120689947895,3,2465,0,0,1
14.778012552533959,1,889,0,0,0
238.62354859898673,2,404,0,0,1
117.15614300548489,3,514,0,0,1
48.218256150156115,2,2614,0,0,0
7.880167896573947,1,2489,0,0,0
44.698602049242446,1,1270,0,1,1
47.197705582095764,2,1070,0,0,0
156.9450940749289,1,2123,0,0,1
121.7867230711224,2,1173,1,0,1
261.8702294881818,2,2454,0,1,1
76.68793600515717,3,2051,0,0,1
15.284687233860229,5,1033,0,0,0
149.89516131799192,2,514,1,0,1
171.6471303692237,2,2588,0,0,1
98.86649938629945,1,290,0,0,1
176.86679600656373,4,2229,0,0,1
81.69776778123335,2,2314,0,0,0
88.76146065327204,2,83,0,0,1
